Name;Age;Nationality;Overall;Potential;Club;Preferred Foot;Work Rate;Real Face;Position;Finishing;HeadingAccuracy;Dribbling;BallControl;Acceleration;Agility;ShotPower;Stamina;Strength;Aggression;Penalties
L. Messi;31;Argentina;94;94;FC Barcelona;Left;Medium/ Medium;Yes;RF;95;70;97;96;91;91;85;72;59;48;75
Cristiano Ronaldo;33;Portugal;94;94;Juventus;Right;High/ Low;Yes;ST;94;89;88;94;89;87;95;88;79;63;85
Neymar Jr;26;Brazil;92;93;Paris Saint-Germain;Right;High/ Medium;Yes;LW;87;62;96;95;94;96;80;81;49;56;81
De Gea;27;Spain;91;93;Manchester United;Right;Medium/ Medium;Yes;GK;13;21;18;42;57;60;31;43;64;38;40
K. De Bruyne;27;Belgium;91;92;Manchester City;Right;High/ High;Yes;RCM;82;55;86;91;78;79;91;90;75;76;79
E. Hazard;27;Belgium;91;91;Chelsea;Right;High/ Medium;Yes;LF;84;61;95;94;94;95;82;83;66;54;86
L. Modrić;32;Croatia;91;91;Real Madrid;Right;High/ High;Yes;RCM;72;55;90;93;80;93;79;89;58;62;82
L. Suárez;31;Uruguay;91;91;FC Barcelona;Right;High/ Medium;Yes;RS;93;77;87;90;86;82;86;90;83;87;85
Sergio Ramos;32;Spain;91;91;Real Madrid;Right;High/ Medium;Yes;RCB;60;91;63;84;76;78;79;84;83;88;75
J. Oblak;25;Slovenia;90;93;Atlético Madrid;Right;Medium/ Medium;Yes;GK;11;15;12;16;43;67;22;41;78;34;11
R. Lewandowski;29;Poland;90;90;FC Bayern München;Right;High/ Medium;Yes;ST;91;85;85;89;77;78;88;78;84;80;88
T. Kroos;28;Germany;90;90;Real Madrid;Right;Medium/ Medium;Yes;LCM;76;54;81;90;64;70;87;75;73;60;73
D. Godín;32;Uruguay;90;90;Atlético Madrid;Right;Medium/ High;Yes;CB;42;92;53;76;68;58;67;66;88;89;50
David Silva;32;Spain;90;90;Manchester City;Left;High/ Medium;Yes;LCM;76;54;89;94;70;92;72;78;52;57;75
N. Kanté;27;France;89;90;Chelsea;Right;Medium/ High;Yes;LDM;65;54;79;80;82;82;71;96;76;90;54
P. Dybala;24;Argentina;89;94;Juventus;Left;High/ Medium;Yes;LF;84;68;92;92;87;91;82;80;65;48;86
H. Kane;24;England;89;91;Tottenham Hotspur;Right;High/ High;Yes;ST;94;85;80;84;68;71;88;89;84;76;90
A. Griezmann;27;France;89;90;Atlético Madrid;Left;High/ High;Yes;CAM;90;84;88;90;88;90;80;83;62;69;79
M. ter Stegen;26;Germany;89;92;FC Barcelona;Right;Medium/ Medium;Yes;GK;14;11;17;18;38;37;22;35;79;43;25
T. Courtois;26;Belgium;89;90;Real Madrid;Left;Medium/ Medium;Yes;GK;14;13;13;23;46;61;36;38;70;23;27
Sergio Busquets;29;Spain;89;89;FC Barcelona;Right;Medium/ Medium;Yes;CDM;67;68;80;88;50;66;61;86;77;85;60
E. Cavani;31;Uruguay;89;89;Paris Saint-Germain;Right;High/ High;Yes;LS;89;89;80;82;75;77;87;92;78;84;85
M. Neuer;32;Germany;89;89;FC Bayern München;Right;Medium/ Medium;Yes;GK;13;25;30;48;54;51;25;43;80;29;47
S. Agüero;30;Argentina;89;89;Manchester City;Right;High/ Medium;Yes;ST;93;77;89;89;88;86;88;76;73;65;83
G. Chiellini;33;Italy;89;89;Juventus;Left;Medium/ High;Yes;LCB;33;83;58;57;63;54;78;65;89;92;50
K. Mbappé;19;France;88;95;Paris Saint-Germain;Right;High/ Medium;Yes;RM;88;77;90;91;96;92;79;83;71;62;70
M. Salah;26;Egypt;88;89;Liverpool;Left;High/ Medium;Yes;RM;90;59;89;88;94;91;77;84;70;63;61
Casemiro;26;Brazil;88;90;Real Madrid;Right;Medium/ High;Yes;CDM;59;76;69;78;59;62;86;87;89;87;66
J. Rodríguez;26;Colombia;88;89;FC Bayern München;Left;Medium/ Medium;Yes;LAM;83;62;85;90;73;83;86;70;68;64;81
L. Insigne;27;Italy;88;88;Napoli;Right;High/ Medium;Yes;LW;77;56;90;93;94;94;75;75;44;34;61
Isco;26;Spain;88;91;Real Madrid;Right;High/ Medium;Yes;LW;79;55;94;95;75;87;69;70;59;58;76
C. Eriksen;26;Denmark;88;91;Tottenham Hotspur;Right;High/ Medium;Yes;CAM;80;52;84;91;75;79;84;92;58;46;67
Coutinho;26;Brazil;88;89;FC Barcelona;Right;High/ High;Yes;LW;79;48;91;92;89;92;83;79;61;59;70
P. Aubameyang;29;Gabon;88;88;Arsenal;Right;Medium/ Low;Yes;LM;88;79;79;82;93;76;82;76;76;43;76
